"PVT1","EWU2","YVT3","XIU4","VWP5","TGF6","WGR7","OEX8","EBD9","JXG10","XGE11","Output7"
"O",38.723,48.434,21.276,75.781,18.831,72.636,2,"D",55.067,90.983,"Class3"
"V",18.498,17.857,99.378,59.036,32.256,-10.078,23,"U",35.278,78.237,"Class1"
"L",36.986,43.061,17.342,49.96,22.936,74.247,3,"S",58.781,83.911,"Class3"
"D",25.73,18.246,71.61,55.304,32.503,38.341,14,"U",13.636,82.432,"Class1"
"C",68.535,70.97,3.429,47.436,72.897,65.581,NA,"T",93.66,17.296,"Class2"
"J",72.959,65.659,1.984,24.757,97.484,67.567,86,"Y",81.838,40.66,"Class2"
"Y",22.002,18.997,89.22,51.607,31.254,31.762,16,"A",14.028,76.713,"Class1"
"F",24.92,44.121,17.167,78.893,24.411,67.165,2,"S",55.095,89.162,"Class3"
"D",27.565,19.811,70.135,50.973,31.839,31.02,9,"A",28.861,68.991,"Class1"
"V",22.074,18.041,75.662,50.107,31.369,8.312,5,"S",10.677,56.481,"Class1"
NA,23.52,18.656,105.471,67.274,31.082,9.211,25,"U",30.135,66.248,"Class1"
"H",20.192,28.414,17.76,77.743,16.537,74.014,3,"G",55.523,81.448,"Class3"
"J",77.394,69.709,6.285,29.245,68.694,65.931,59,"Y",96.297,35.667,"Class2"
"C",77.832,65.447,28.036,39.502,64.212,62.118,84,"Q",88.422,22.181,"Class2"
"D",22.644,17.447,63.473,37.864,31.813,30.43,6,"U",23.045,79.485,"Class1"
"L",18.257,28.991,13.896,65.87,22.256,62.998,3,"E",54.184,86.648,"Class3"
"H",18.409,21.445,10.88,65.015,26.019,69.01,3,"E",57.873,90.52,"Class3"
"V",22.219,19.225,93.498,44.215,33.122,32.704,22,"S",14.787,80.687,"Class1"
"V",20.686,18.567,72,38.043,31.757,18.309,14,"E",22.996,75.325,"Class1"
"W",78.184,69.429,25.359,56.102,71.076,69.871,61,"T",64.85,80.776,"Class2"
"P",21.505,17.396,85.812,68.779,31.744,5.376,14,"S",21.1,69.631,"Class1"
"M",75.103,64.988,49.984,47.159,52.947,61.299,65,"E",99.194,79.547,"Class2"
"W",74.516,65.528,9.941,40.142,64.658,66.104,NA,"W",95.531,51.143,"Class2"
"J",78.775,69.407,27.87,33.93,72.77,61.82,56,"T",67.569,73.315,"Class2"
"C",65.053,68.354,19.681,48.448,65.988,71.095,79,"W",77.631,28.636,"Class2"
"J",69.256,68.084,6.934,40.819,74.263,58.337,82,"W",67.976,64.145,"Class2"
"G",25.823,21.465,13.67,74.167,17.076,71.592,3,"G",58.734,81.978,"Class3"
"D",22.831,19.848,99.733,59.868,32.259,35.933,22,"T",31.72,69.68,"Class1"
"J",72.649,69.944,23.058,52.073,67.22,70.96,71,"E",82.135,81.516,"Class2"
"L",20.088,49.204,18.552,42.608,14.135,70.699,NA,"S",61.011,87.234,"Class3"
"H",18.128,37.242,25.877,80.233,21.404,72.11,3,"S",56.167,89.639,"Class3"
"O",19.803,43.153,23.874,65.738,19.855,70.675,2,"S",55.195,86.301,"Class3"
"C",82.536,72.038,22.142,24.059,54.679,58.124,83,"Q",73.434,16.549,"Class2"
"V",22.201,18.92,98.799,41.275,32.641,8.809,23,"A",32.266,63.241,"Class1"
"P",20.934,17.515,79.221,70.476,31.694,40.532,14,"A",35.45,43.75,"Class1"
"D",25.174,19.177,56.697,49.273,31.838,29.658,11,"U",23.081,43.949,"Class1"
"W",78.218,69.645,6.556,54.154,78.315,44.571,64,"Y",88.733,98.891,"Class2"
"D",24.424,19.789,82.09,47.634,30.422,18.468,25,"E",11.682,50.478,"Class1"
"C",67.986,71.31,40.524,42.069,73.808,70.381,72,"W",88.295,13.352,"Class2"
"H",21.312,35.538,23.722,57.458,20.004,65.53,4,"S",60.058,89.121,"Class3"
"H",32.788,24.446,30.034,26.836,30.798,72.908,2,"O",56.608,89.613,"Class3"
"J",69.658,73.523,25.161,50.994,76.702,70.262,80,"E",74.318,4.146,"Class2"
"D",25.303,18.375,85.049,53.032,31.491,-13.98,3,"S",23.012,77.258,"Class1"
"M",70.701,72.186,29.958,46.653,58.779,66.737,63,"Q",96.752,7.192,"Class2"
"F",29.467,47.159,16.994,75.189,18.013,75.027,3,"E",59.048,84.072,"Class3"
"P",26.042,19.801,80.122,49.81,32.296,27.242,22,"S",5.64,70.217,"Class1"
"C",74.639,71.671,-1.092,15.787,66.695,63.331,83,"E",69.85,50.562,"Class2"
"O",30.803,22.945,14.52,35.578,20.232,68.813,2,"E",53.973,91.262,"Class3"
"D",17.506,19.615,98.612,38.295,32.171,6.492,21,"E",0.345,77.432,"Class1"
"O",20.745,28.858,23.168,39.296,23.988,72.608,3,"G",63.613,84.843,"Class3"
"V",29.575,18.112,82.077,58.719,31.761,-7.779,4,"E",0.747,59.269,"Class1"
"X",18.654,18.783,82.582,50.104,32.395,21.133,18,"E",36.554,65.01,"Class1"
"X",20.68,17.387,84.187,36.994,33.074,34.708,11,"U",31.52,53.08,"Class1"
"V",25.945,19.093,60.981,39.455,31.923,24.83,20,"S",13.232,72.695,"Class1"
"G",30.03,29.764,19.78,76.539,21.844,71.863,3,"E",58.353,92.067,"Class3"
"J",68.053,69.131,10.45,44.641,60.639,69.805,67,"Q",69.491,33.982,"Class2"
"C",74.131,67.039,16.699,47.082,75.822,61.593,68,"W",70.568,92.945,"Class2"
"P",69.473,72.572,18.21,41.7,59.11,67.765,67,"E",80.051,33.703,"Class2"
"L",23.231,26.325,22.885,31.159,20.308,72.447,3,"O",61.077,89.764,"Class3"
"O",28.119,40.556,21.974,74.935,22.819,67.732,3,"E",61.718,89.208,"Class3"
"D",22.026,18.465,82.815,47.112,32.773,6.799,22,"T",1.463,48.343,"Class1"
"X",26.915,19.25,75.668,69.065,31.453,30.344,3,"T",4.607,52.717,"Class1"
"F",23.453,22.731,17.544,51.077,22.106,70.711,4,"O",62.263,87.481,"Class3"
"J",69.054,68.35,19.51,53.862,89.036,62.267,63,"W",71.081,59.165,"Class2"
"P",75.028,68.327,12.474,21.529,77.241,63.387,74,"Y",69.943,24.341,"Class2"
"F",23.993,39.859,10.637,79.642,19.837,72.051,2,"O",56.502,90.091,"Class3"
NA,73.733,70.909,27.211,32.641,40.383,62.005,82,"Q",69.324,36.831,"Class2"
NA,21.58,32.173,24.016,46.751,21.133,69.409,2,"E",60.804,90.337,"Class3"
"G",32.049,31.699,32.591,66.332,18.423,73.34,4,"G",60.408,84.345,"Class3"
"X",29.571,17.108,98.122,63.584,32.126,22.033,15,"E",29.689,76.666,"Class1"
"Y",19.302,17.111,79.046,44.994,33.45,30.888,18,"A",25.32,61.061,"Class1"
"X",19.551,19.555,70.766,64.084,32.417,36.936,9,"E",8.285,48.631,"Class1"
"D",22.908,18.994,73.05,51.064,31.51,17.693,12,"A",3.748,59.657,"Class1"
"V",21.877,17.841,79.506,37.277,32.255,30.409,15,"S",27.658,52.381,"Class1"
"D",15.728,19.93,85.062,60.694,32.007,36.406,16,"U",8.561,63.028,"Class1"
"D",24.504,18.193,89.246,69.982,32.501,24.875,12,"S",7.078,78.814,"Class1"
"P",72.297,69.724,8.98,30.735,86.407,63.664,55,"W",76.559,37.545,"Class2"
"V",19.349,17.103,91.527,42.196,31.288,25.311,7,"S",0.84,81.889,"Class1"
"F",19.22,30.211,22.77,29.727,20.352,68.42,4,"O",59.748,89.833,"Class3"
"G",26.277,37.122,10.759,51.751,22.891,67.703,3,"O",57.212,87.096,"Class3"
"P",23.87,19.143,86.52,65.246,33.316,28.634,5,"T",6.114,57.011,"Class1"
"G",17.344,27.848,25.191,56.106,19.083,74.076,2,"S",53.572,88.389,"Class3"
"F",31.02,46.701,11.793,71.765,20.899,65.557,2,"G",58.748,89.711,"Class3"
"G",36.486,42.65,3.758,79.401,15.956,71.741,3,"S",53.253,82.64,"Class3"
NA,68.859,65.172,28.601,32.618,62.083,67.377,55,"E",94.849,16.183,"Class2"
"M",68.906,73.48,-17.816,44.158,69.55,74.9,59,"Y",67.659,83.935,"Class2"
"D",21.682,17.788,82.477,58.694,30.823,27.177,18,"E",18.227,69.887,"Class1"
"O",32.82,36.172,17.532,46.627,19.073,72.132,2,"O",63.66,91.745,"Class3"
"F",30.596,39.356,18.694,61.775,24.057,65.012,4,"O",63.55,85.81,"Class3"
"F",24.066,47.939,20.643,33.429,13.427,72.726,2,"O",59.245,92.415,"Class3"
"W",65.945,64.19,17.196,12.168,66.698,50.048,85,"W",88.908,83.1,"Class2"
"X",26.028,17.362,70.887,49.608,32.735,32.893,8,"E",34.67,51.003,"Class1"
"C",69.509,72.126,16.366,22.427,69.06,55.314,89,"Y",76.935,14.274,"Class2"
"O",32.578,41.085,24.169,26.203,24.489,76.575,4,"E",57.946,89.078,"Class3"
"W",74.333,73.861,34.699,48.294,81.292,49.555,68,"Y",86.751,19.875,"Class2"
"P",19.743,18.57,89.473,47.053,31.615,16.062,7,"S",27.103,72.805,"Class1"
"C",66.77,63.929,12.772,53.067,60.65,78.194,69,"T",72.881,10.884,"Class2"
"G",18.206,32.104,20.706,27.966,14.868,69.869,4,"O",55.964,86.024,"Class3"
"X",25.743,18.358,79.561,63.091,31.431,-9.914,18,"T",4.27,50.195,"Class1"
"V",22.502,19.993,66.908,62.58,32.045,31.567,NA,"T",36.115,78.028,"Class1"
"O",32.363,46.248,16.459,44.101,25.652,69.684,4,"S",53.919,85.462,"Class3"
"X",22.457,19.364,78.332,56.622,32.513,25.17,7,"S",21.049,66.694,"Class1"
"W",77.125,66.701,23.691,22.066,82.284,56.877,70,"Y",85.074,35.351,"Class2"
"F",22.726,40.355,2.421,61.349,24.629,67.28,3,"E",55.92,88.314,"Class3"
"F",32.104,37.477,10.742,30.177,23.705,67.348,3,"D",57.271,86.195,"Class3"
"P",78.629,68.067,18.654,16.608,77.94,58.972,71,"Y",65.546,25.451,"Class2"
"P",68.236,70.079,20.242,34.38,72.766,65.488,60,"T",92.532,6.9,"Class2"
"P",21.509,18.074,70.296,64.027,31.277,32.803,NA,"E",18.066,67.011,"Class1"
"G",25.886,46.596,14.372,76.105,20.546,69.12,2,"D",56.403,83.193,"Class3"
NA,21.198,18.103,87.895,64.157,31.679,19.495,26,"U",1.723,84.038,"Class1"
"G",32.391,44.917,21.799,43.231,20.038,71.6,NA,"E",54.528,89.552,"Class3"
"G",17.58,36.738,28.842,60.025,18.261,71.443,3,"E",59.292,91.204,"Class3"
"W",66.239,65.887,19.208,37.091,76.832,66.732,56,"W",92.981,14.128,"Class2"
"P",19.643,18.705,70.751,51.4,32.083,19.367,3,"S",27.026,69.732,"Class1"
"C",81.058,68.637,24.553,27.642,49.928,71.936,73,"Y",65.841,6.363,"Class2"
"M",72.333,65.47,24.839,39.612,73.7,70.984,72,"Y",69.417,20.936,"Class2"
NA,72.718,72.288,10.915,13.847,72.803,70.358,60,"W",93.685,8.924,"Class2"
"F",25.149,31.822,15.327,36.709,16.449,70.181,4,"D",55.457,82.434,"Class3"
"O",16.284,46.764,14.586,66.068,22.992,65.928,4,"G",59.624,82.604,"Class3"
"M",74.035,73.586,44.14,38.862,66.248,70.331,88,"W",72.831,13.801,"Class2"
"W",74.224,64.294,22.345,26.101,71.196,64.281,64,"W",72.941,40.524,"Class2"
"F",23.527,45.722,16.916,33.035,15.146,70.313,2,"O",63.614,90.455,"Class3"
"M",74.144,70.19,35.841,47.897,71.013,64.134,89,"E",99.339,62.751,"Class2"
"Y",21.895,18.61,84.881,63.69,31.802,53.518,16,"T",9.896,54.555,"Class1"
"P",68.639,68.476,20.509,25.592,72.686,63.379,78,"W",84.468,84.095,"Class2"
"F",19.272,45.588,19.212,26.233,22.606,71.584,2,"G",53.398,92.011,"Class3"
"Y",23.754,18.207,81.78,40.45,31.853,20.215,22,"S",16.438,49.607,"Class1"
"L",26.885,46.175,14.335,58.989,21.232,65.744,4,"O",58.535,91.474,"Class3"
"P",79.945,72.376,34.066,46.038,65.498,73.806,63,"E",98.81,20.233,"Class2"
"P",66.35,66.375,24.351,48.029,65.583,57.135,85,"Q",90.119,74.434,"Class2"
"P",76.804,70.541,23.053,32.18,68.747,86.589,65,"T",94.385,48.931,"Class2"
"W",69.824,69.346,26.525,21.179,84.656,61.732,55,"T",93.184,89.082,"Class2"
"Y",17.379,17.347,79.899,44.255,32.187,23.983,24,"A",14.317,46.851,"Class1"
"P",20.844,19.736,90.635,45.801,31.839,47.86,NA,"A",5.279,46.376,"Class1"
"V",26.035,18.369,86.209,36.708,33.064,28.512,9,"A",34.044,63.211,"Class1"
"P",26.059,18.733,93.931,58.34,32.344,50.993,10,"S",4.575,51.571,"Class1"
NA,73.763,68.458,22.065,32.655,58.319,66.869,66,"Q",84.11,62.492,"Class2"
"D",23.651,17.253,90.098,50.136,32.404,32.722,21,"A",4.144,59.917,"Class1"
"H",18.138,48.264,12.795,79.326,23.549,68.777,4,"D",63.671,89.758,"Class3"
NA,17.769,17.068,58.378,43.701,32.401,34.034,8,"S",23.389,83.369,"Class1"
"D",20.115,17.841,83.984,44.767,31.488,0.04,12,"T",1.264,47.74,"Class1"
"G",32.171,47.797,13.837,66.117,17.622,71.361,2,"G",58.846,89.376,"Class3"
"X",24.871,17.464,82.613,52.197,31.251,3.928,21,"U",9.798,73.603,"Class1"
"V",22.628,19.768,77.234,40.633,32.581,17.641,15,"S",3.759,70.323,"Class1"
"M",66.144,66.521,41.836,53.165,58.032,68.174,54,"T",92.371,48.926,"Class2"
"F",23.428,26.755,3.596,73.727,26.971,68.712,4,"E",53.921,89.02,"Class3"
"Y",25.33,18.519,68.469,41.076,31.994,26.62,23,"A",31.943,58.424,"Class1"
"O",27.904,48.632,11.588,64.18,19.297,69.953,2,"G",53.853,91.639,"Class3"
"J",80.603,64.306,35.508,42.222,82.706,51.123,80,"W",81.833,55.395,"Class2"
"P",71.785,72.354,19.207,37.339,74.147,63.237,NA,"E",86.221,47.601,"Class2"
"L",23.591,44.757,21.317,50.839,11.008,71.182,2,"O",57.201,85.392,"Class3"
NA,37.834,42.156,17.891,47.386,21.878,67.657,4,"E",61.934,87.841,"Class3"
"D",24.803,19.685,76.1,66.32,31.726,29.731,9,"A",0.648,61.709,"Class1"
"Y",24.087,17.818,61.599,62.708,31.43,18.4,20,"U",12.877,56.048,"Class1"
"M",71.754,72.786,54.523,26.801,64.443,60.281,87,"Q",77.552,91.975,"Class2"
"W",73.231,63.544,1.533,33.19,77.229,59.588,63,"T",83.54,55.462,"Class2"
"C",72.132,66.019,4.628,38.435,79.616,61.671,63,"T",74.937,5.323,"Class2"
"X",19.359,18.039,78.638,38.371,31.29,-1.47,3,"E",29.26,70.753,"Class1"
"C",81.292,73.205,1.989,56.069,52.621,74.857,73,"Q",83.587,71.342,"Class2"
"G",27.595,44.225,27.752,57.425,15.995,71.965,2,"S",63.797,92.9,"Class3"
"D",17.343,18.34,84.984,60.19,31.108,24.388,26,"T",4.985,72.211,"Class1"
"P",75.892,68.709,12.197,51.772,71.163,57.94,84,"T",95.514,93.444,"Class2"
"G",24.589,37.695,18.894,65.074,17.05,69.589,3,"G",54.569,81.88,"Class3"
"Y",23.765,19.98,80.884,42.417,33.233,23.562,26,"E",13.114,50.98,"Class1"
"X",25.329,18.346,95.39,42.877,32.504,23.84,7,"A",30.615,45.557,"Class1"
"W",78.82,67.757,19.172,20.061,83.079,67.597,59,"E",78.989,74.973,"Class2"
"X",19.353,18.883,66.88,44.503,31.661,28.761,10,"A",29.626,72.604,"Class1"
"J",69.452,67.506,13.278,17.861,74.201,61.653,66,"W",87.035,64.206,"Class2"
"P",25.089,17.354,71.175,65.257,31.945,12.68,10,"E",26.848,84.242,"Class1"
"D",24.713,18.422,94.142,57.583,31.624,15.758,16,"S",18.847,69.354,"Class1"
"V",21.131,17.447,77.727,71.907,31.376,21.701,19,"T",10.293,53.072,"Class1"
"J",72.379,64.99,12.554,57.295,86.234,67.106,61,"Y",63.645,44.325,"Class2"
"L",22.967,35.537,13.127,51.997,19.767,74.246,4,"E",60.077,88.841,"Class3"
"F",20.163,39.207,8.734,34.297,19.793,70.1,3,"S",58.927,87.789,"Class3"
"M",71.873,72.445,17.837,47.911,51.871,52.87,91,"E",95.148,97.667,"Class2"
"L",24.531,37.09,5.644,28.973,19.09,72.461,2,"S",62.61,87.921,"Class3"
"P",25.656,17.693,83.741,45.772,31.2,6.973,5,"A",12.004,47.209,"Class1"
NA,23.508,18.879,66.13,71.291,32.052,18.38,20,"S",36.86,45.346,"Class1"
"H",26.997,37.55,9.402,51.348,30.843,67.106,3,"O",58.823,87.263,"Class3"
"J",70.092,70.408,22.15,43.342,61.563,55.667,63,"E",76.875,67.64,"Class2"
"M",68.676,73.707,30.546,17.428,68.862,59.356,76,"Q",81.113,19.637,"Class2"
"C",76.728,69.912,15.559,51.68,59.232,69.574,84,"T",67.403,37.963,"Class2"
"D",19.258,17.558,100.981,59.631,31.766,27.507,18,"S",15.1,43.281,"Class1"
"C",72.294,71.14,27.266,34.752,70.958,73.118,76,"E",97.899,65.404,"Class2"
"P",23.405,17.863,64.9,64.025,32.504,9.67,17,"A",35.054,50.585,"Class1"
"D",21.923,18.272,76.516,42.51,32.439,28.884,4,"E",1.791,81.148,"Class1"
"O",28.207,42.869,20.705,70.385,20.02,69.137,4,"O",53.151,83.527,"Class3"
"P",27.944,19.911,95.966,52.294,31.664,-2.798,NA,"S",23.625,66.071,"Class1"
"J",72.996,73.89,33.727,32.096,62.443,66.935,62,"T",75.041,81.729,"Class2"
"D",20.687,17.879,90,56.551,31.652,18.56,26,"A",19.308,44.576,"Class1"
"D",19.436,19.837,52.701,61.788,32.13,29.53,11,"S",0.661,69.981,"Class1"
"D",19.528,19.224,92.82,50.197,32.634,36.077,3,"A",27.866,59.497,"Class1"
"J",68.133,73.812,7.784,24.39,81.101,70.05,85,"Y",77.739,10.607,"Class2"
"C",70.699,69.328,33.456,33.465,71.066,69.803,53,"Y",89.287,27.699,"Class2"
"P",77.01,67.661,13.899,49.019,73.089,63.516,58,"W",81.148,84.469,"Class2"
"H",26.686,44.876,14.013,80.947,20.78,71.878,4,"S",60.07,83.355,"Class3"
"D",24.7,18.825,80.383,52.777,32.765,2.88,16,"U",36.637,63.894,"Class1"
"X",20.675,17.181,91.785,69.668,30.596,26.751,23,"T",31.253,43.748,"Class1"
"L",20.165,28.898,19.385,74.143,21.644,71.649,2,"G",54.107,82.213,"Class3"
"P",22.143,18.202,101.352,65.744,32.381,0.525,11,"S",23.318,59.842,"Class1"
"G",22.744,25.228,12.415,57.793,16.816,67.672,3,"O",55.7,86.129,"Class3"
"G",31.483,49.136,16.195,81.344,17.744,77.98,3,"S",55.545,89.335,"Class3"
"Y",22.989,18.459,90.956,36.709,33.008,2.06,24,"S",18.447,55.047,"Class1"
"P",20.637,18.757,70.036,68.214,33.105,23.368,15,"A",32.724,82.04,"Class1"
"X",25.996,18.689,71.743,55.771,31.899,16.631,17,"S",26.86,81.863,"Class1"
"O",20.269,32.151,18.808,25.981,23.203,71.335,3,"G",59.089,83.135,"Class3"
"F",25.37,22.277,17.422,76.701,15.1,69.137,3,"G",62.951,89.942,"Class3"
"M",73.328,70.559,8.446,32.207,50.642,63.392,69,"T",67.423,6.689,"Class2"
"M",70.299,66.919,21.571,32.274,69.555,67.766,64,"E",71.714,26.874,"Class2"
"O",19.582,40.863,21.173,34.696,16.289,71.053,3,"G",59.451,87.935,"Class3"
"J",76.64,69.653,43.76,17.064,68.425,61.351,58,"Y",93.949,33.756,"Class2"
"P",25.493,18.747,101.996,50.909,31.517,29.049,22,"E",12.884,58.445,"Class1"
"Y",20.392,17.626,99.942,51.752,32.943,7.245,21,"S",34.881,62.433,"Class1"
"C",72.75,70.698,34.159,12.091,78.631,68.705,87,"Y",65.525,15.863,"Class2"
"C",73.47,64.878,29.678,47.668,74.158,59.741,52,"Q",72.187,26.403,"Class2"
"G",19.299,42.758,22.506,57.035,25.303,70.694,2,"O",55.492,83.37,"Class3"
"P",21.548,18.11,60.461,61.234,31.797,6.974,3,"A",19.134,74.139,"Class1"
"F",18.034,43.416,25.563,81.205,25.629,68.362,3,"S",59.347,90.946,"Class3"
"P",20.638,18.134,78.191,62.98,30.893,27.358,26,"S",29.497,56.297,"Class1"
"C",67.714,64.476,21.015,51.898,60.947,72.266,NA,"E",83.419,63.502,"Class2"
"W",68.384,71.821,36.834,52.14,80.663,67.591,61,"Q",81.893,13.2,"Class2"
"J",73.593,65.236,21.989,16.743,74.441,76.138,58,"T",87.611,74.432,"Class2"
"Y",19.581,18.328,73.952,71.126,32.315,-1.634,21,"S",35.964,48.102,"Class1"
"V",16.139,18.751,99.354,39.398,31.753,-6.195,7,"T",28.479,47.069,"Class1"
"O",20.779,39.777,22.809,42.803,25.009,72.079,4,"D",58.277,85.358,"Class3"
"Y",21.942,18.38,77.628,48.179,32.751,45.097,9,"E",26.491,80.176,"Class1"
"J",71.211,64.442,26.631,32.923,79.463,62.954,75,"Q",89.616,8.575,"Class2"
"F",26.348,27.484,20.569,74.225,18.194,67.462,2,"G",58.228,87.891,"Class3"
"L",25.18,42.355,24.182,27.771,22.468,66.906,3,"G",58.741,90.503,"Class3"
NA,73.172,64.898,41.193,36.397,99.942,77.724,73,"T",70.918,83.057,"Class2"
"W",72.377,64.564,27.512,23.353,67.254,75.116,57,"Q",65.981,55.825,"Class2"
"G",25.172,22.878,13.884,33.486,30.097,75.023,3,"D",62.953,81.217,"Class3"
"M",70.888,64.26,39.311,22.36,79.052,63.463,88,"T",94.249,86.917,"Class2"
"O",27.15,32.825,15.468,62.716,22.579,73.314,3,"E",56.467,88.125,"Class3"
"X",22.65,18.05,95.923,63.994,31.7,44.273,4,"U",22.461,81.233,"Class1"
"Y",24.114,17.341,85.489,45.894,31.612,10.996,18,"E",14.397,62.156,"Class1"
"D",23.468,17.567,82.358,51.981,33.098,26.667,18,"S",16.849,57.938,"Class1"
"P",78.519,64.602,29.988,51.11,61.422,59.793,60,"T",83.257,36.745,"Class2"
"Y",25.447,19.153,74.16,65.753,31.121,17.064,15,"U",24.762,59.97,"Class1"
"M",73.724,66.628,6.023,33.914,82.308,68.314,83,"W",65.507,35.454,"Class2"
"X",21.913,17.686,88.223,64.96,32.264,17.067,16,"T",3.22,70.623,"Class1"
"C",73.458,69.734,33.76,55.913,64.896,60.945,84,"E",84.144,89.178,"Class2"
"O",13.351,36.576,30.874,74.679,25.338,70.664,NA,"O",63.686,84.324,"Class3"
"F",19.754,21.189,19.29,64.557,23.508,74.846,3,"O",57.272,91.931,"Class3"
"P",23.089,19.561,91.872,39.301,31.99,6.183,7,"U",12.034,81.875,"Class1"
"P",22.17,17.535,86.409,39.602,32.023,13.053,20,"A",23.986,72.982,"Class1"
"V",21.54,17.325,99.506,39.858,31.021,14.072,25,"S",30.292,69.217,"Class1"
"M",64.504,67.272,18.213,39.064,55.826,84.239,76,"E",71.317,46.843,"Class2"
"M",78.49,65.038,15.241,41.984,65.231,61.556,88,"Q",89.539,97.947,"Class2"
"W",66.824,64.812,5.667,17.114,89.927,71.541,88,"W",81.915,63.367,"Class2"
"P",72.48,73.426,8.298,35.225,56.734,67.788,87,"Q",92.351,68.133,"Class2"
"O",35.402,24.635,13.318,75.367,23.13,69.823,2,"G",59.615,89.25,"Class3"
"W",70.189,65.452,28.734,26.911,62.785,71.624,89,"Q",93.627,28.005,"Class2"
"W",79.313,69.728,3.242,37.957,74.233,68.44,56,"T",64.398,41.847,"Class2"
"P",71.977,67.777,27.407,35.526,78.888,55.22,69,"W",84.368,18.824,"Class2"
"H",25.692,31.032,9.933,44.33,16.35,70.287,2,"O",53.31,86.6,"Class3"
"L",17.993,42.162,18.599,29.772,16.937,71.463,2,"D",57.969,91.821,"Class3"
"Y",19.139,19.466,89.148,48.945,31.041,18.387,24,"A",1.833,44.413,"Class1"
"C",81.257,68.296,12.296,46.979,66.426,67.913,53,"T",65.578,93.005,"Class2"
"X",23.963,19.213,78.61,60.558,32.151,17.191,6,"S",16.294,45.38,"Class1"
"O",28.506,39.135,9.784,72.158,17.588,72.889,4,"S",61.362,82.047,"Class3"
"H",15.466,44.993,16.748,36.197,20.66,72.151,3,"S",60.274,90.948,"Class3"
"V",26.134,19.302,95.825,48.374,32.04,37.828,20,"U",17.302,64.474,"Class1"
"F",35.248,38.863,27.731,77.466,25.347,65.315,3,"G",53.97,91.128,"Class3"
"C",70.992,67.823,-9.008,24.58,73.971,51.837,58,"Q",95.908,38.484,"Class2"
"Y",24.338,19.668,62.91,46.427,32.173,11.066,16,"E",23.805,77.864,"Class1"
"Y",24.189,19.847,98.313,46.155,32.191,18.716,21,"T",34.784,54.327,"Class1"
NA,21.099,24.085,15.236,49.601,16.283,65.369,2,"S",56.534,84.715,"Class3"
"C",78.091,71.586,6.455,46.819,69.054,81.813,73,"E",69.946,90.746,"Class2"
"P",80.636,66.019,16.917,56.092,95.814,61.19,NA,"E",66.023,75.918,"Class2"
"H",23.864,35.972,21.934,35.34,26.412,68.958,3,"D",60.297,89.97,"Class3"
"O",30.204,44.329,23.838,47.332,16.32,71.227,3,"D",62.524,92.178,"Class3"
"P",76.59,64.664,36.177,37.881,62.166,71.713,67,"W",83.062,4.46,"Class2"
"P",74.675,69.669,23.754,25.256,83.444,70.111,72,"W",98.784,74.494,"Class2"
"X",27.182,18.255,76.594,48.183,32.325,18.884,NA,"A",21.102,52.641,"Class1"
"C",76.662,66.721,13.633,17.886,72.909,69.166,76,"E",84.878,8.885,"Class2"
"D",18.668,18.378,82.29,46.703,32.654,17.248,11,"E",9.501,62.183,"Class1"
"X",23.112,18.802,80.396,62.185,31.74,26.176,20,"U",5.237,79.416,"Class1"
NA,71.406,73.077,25.872,29.015,78.966,71.061,65,"W",94.217,16.25,"Class2"
"C",71.453,67.036,-3.013,22.993,66.125,67.406,78,"Q",78.238,18.643,"Class2"
"P",24.617,17.621,89.612,61.324,32.825,27.274,15,"U",20.95,57.78,"Class1"
"H",20.977,37.98,18.848,68.609,18.514,74.354,3,"D",59.568,81.79,"Class3"
"X",22.716,19.446,86.498,63.322,31.858,39.142,8,"U",34.317,62.036,"Class1"
"P",18.151,18.188,80.236,45.254,32.236,28.33,8,"U",24.593,81.536,"Class1"
"W",71.352,67.395,23.82,25.17,67.843,62.119,61,"Y",88.843,81.334,"Class2"
"F",34.946,35.695,16.132,54.328,13.454,72.281,3,"O",57.365,85.442,"Class3"
"L",31.911,29.104,22.123,28.626,19.137,66.967,2,"E",62.769,90.135,"Class3"
"M",77.51,72.105,21.023,57.636,60.363,68.757,81,"W",96.847,50.02,"Class2"
"V",21.541,17.629,85.645,64.068,31.639,10.101,5,"S",31.168,66.044,"Class1"
"W",77.964,63.618,22.776,29.078,72.071,74.732,NA,"W",94.685,41.661,"Class2"
"Y",23.172,19.806,71.977,66.218,32.51,19.971,17,"A",14.473,45.993,"Class1"
"F",16.403,30.272,13.105,84.636,19.779,64.701,3,"E",55.33,90.518,"Class3"
"L",23.443,29.092,0.525,28.316,21.514,66.688,4,"G",57.075,90.567,"Class3"
NA,21.578,19.299,101.973,42.979,30.867,11.432,21,"A",13.9,48.855,"Class1"
"X",20.84,17.336,91.191,59.386,31.376,23.499,13,"E",3.646,45.491,"Class1"
"M",74.797,70.052,40.783,37.705,62.174,67.904,78,"E",74.759,6.429,"Class2"
"L",26.844,31.066,22.37,50.456,20.034,72.865,4,"G",53.188,84.377,"Class3"
"C",73.995,72.37,39.172,49.401,75.636,60.06,83,"T",77.893,88.778,"Class2"
"P",76.351,66.829,4.143,42.885,60.789,68.221,86,"T",74.976,50.675,"Class2"
"C",73.295,63.34,42.138,25.528,55.041,62.208,84,"W",69.551,81.063,"Class2"
"J",71.913,68.376,-14.248,38.435,49.974,71.428,62,"T",79.471,62.888,"Class2"
