"CAI1","LOM2","CNL3","ZIY4","GCO5","UQO6","HAI7","CWY8","SUO9","Output20","UNL10"
"D",64.357,33,96.768,91.68,92.594,55.478,56.573,15.769,"Class3",104.664
"L",45.597,32,96.089,75.027,91.256,77.979,42.378,12.831,"Class3",85.795
"D",65.962,52,21.996,9.224,9.773,70.196,85.98,51.281,"Class1",35.556
"Y",33.756,18,28.288,53.617,72.201,46.551,67.199,1.812,"Class2",32.361
"N",48.229,54,54.445,26.938,-0.354,42.894,44.349,79.009,"Class5",37.087
"U",36.536,3,25.282,55.418,46.936,49.768,52.034,10.185,"Class2",35.276
"B",70.933,51,24.821,13.248,26.458,64.048,79.264,56.905,"Class1",12.122
"L",16.598,51,48.344,89.564,84.888,63.891,69.303,81.72,"Class4",21.468
"B",73.723,35,94.956,93.789,97.163,63.725,54.956,13.028,"Class3",85.383
"D",59.184,70,22.837,15.6,11.58,67.961,86.061,75.162,"Class1",41.993
"L",43.705,25,86.078,81.912,37.138,55.52,77.027,56.699,"Class4",18.068
"L",57.192,35,93.562,75.674,101.68,52.901,28.9,8.523,"Class3",79.283
"B",47.598,80,22.665,13.294,6.856,64.277,83.368,NA,"Class1",24.484
"D",41.842,78,19.338,22.126,29.922,67.075,68.71,50.393,"Class1",19.787
"P",45.766,50,49.189,31.74,50.103,41.698,49.656,79.399,"Class5",50.663
"W",51.657,53,61.805,28.676,32.615,44.198,31.406,NA,"Class5",67.065
"A",30.862,5,80.677,85.272,62.4,46.643,72.063,51.16,"Class4",19.254
"N",45.108,43,23.458,29.312,4.33,48.909,38.417,44.603,"Class5",59.44
"D",31.222,34,96.019,90.534,93.814,54.029,39.197,11.303,"Class3",74.274
"N",51.632,70,61.463,30.971,61.975,37.476,53.89,NA,"Class5",60.856
"T",45.531,88,17.829,18.016,31.307,72.204,57.997,92.915,"Class1",46.015
"Z",51.447,38,66.384,30.494,24.853,49.42,32.627,75.569,"Class5",87.892
"Z",65.222,16,46.173,44.293,83.648,40.427,66.185,8.594,"Class2",26.481
"U",77.786,12,44.161,91.013,78.962,18.716,69.788,NA,"Class2",31.721
"D",50.257,32,97.304,83.55,97.751,49.722,18.348,6.129,"Class3",92.373
NA,51.797,46,83.44,31.337,25.963,41.182,45.372,80.836,"Class5",64.054
"D",81.167,32,92.557,33.393,92.083,62.602,58.948,14.672,"Class3",88.604
"P",48.728,68,106.083,29.968,42.583,37.1,41.265,88.1,"Class5",65.66
"T",51.293,60,19.996,19.187,27.828,58.586,84.938,50.461,"Class1",63.579
"P",46.202,59,47.793,32.766,12.389,47.863,45.291,91.187,"Class5",35.485
"T",41.397,63,21.882,20.615,26.012,64.933,58.84,83.204,"Class1",35.92
"C",44.254,40,49.965,89.294,68.069,50.446,49.132,51.027,"Class4",12.091
NA,12.465,41,98.854,75.298,59.248,51.156,72.631,66.62,"Class4",20.61
"L",20.061,36,98.043,88.539,54.314,42.6,70.07,48.959,"Class4",16.557
"D",28.896,32,96.352,64.77,100.074,65.272,31.301,17.252,"Class3",81.995
"A",24.752,38,91.971,83.089,34.205,45.522,56.955,63.691,"Class4",24.143
"N",49.59,60,78.168,29.655,49.02,51.522,37.219,87.2,"Class5",56.183
"D",38.601,35,98.206,71.65,99.772,74.215,54.356,15.057,"Class3",97.352
"D",65.8,67,26.131,13.763,2.335,72.21,77.056,62.182,"Class1",28.462
"A",34.386,32,95.942,34.405,91.586,81.195,44.647,6.747,"Class3",91.938
"Y",45.443,6,42.765,45.979,89.754,57.492,73.427,5.826,"Class2",36.074
"A",41.278,32,94.189,53.876,93.781,55.546,11.894,6.022,"Class3",84.639
"G",54.728,84,27.597,16.268,20.296,65.837,45.675,50.822,"Class1",35.817
"B",54.075,80,20.409,13.723,-1.438,58.569,87.651,76.495,"Class1",36.249
"C",23.782,19,84.088,86.078,84.571,44.83,78.047,81.925,"Class4",23.069
NA,54.779,69,20.155,20.618,17.391,69.408,75.254,87.525,"Class1",51.561
"S",67.165,14,38.541,81.273,93.853,5.041,59.995,5.289,"Class2",24.526
"G",52.877,77,22.753,14.191,22.26,65.315,88.517,69.618,"Class1",49.11
"Y",52.223,32,95.698,44.317,90.085,72.096,16.241,8.538,"Class3",85.283
"L",30.644,32,94.922,83.33,94.988,61.892,29.715,6.797,"Class3",96.492
"T",65.658,58,19.997,21.236,26.689,57.167,50.596,94.099,"Class1",35.031
"T",61.033,59,20.778,13.497,22.773,70.758,85.777,48.554,"Class1",26.775
"K",28.093,54,77.385,77.538,48.238,42.924,42.539,78.734,"Class4",24.023
"B",28.38,34,95.965,40.796,95.222,68.898,31.864,8.964,"Class3",88.406
"W",49.266,40,68.809,34.606,37.958,54.845,37.243,66.763,"Class5",54.548
"Y",73.551,32,91.597,59.333,92.606,65.314,50.777,14.544,"Class3",93.36
"T",63.66,73,27.468,20.486,29.388,63.255,84.782,79.739,"Class1",30.063
"Q",44.499,44,32.062,26.257,28.781,55.363,41.678,91.539,"Class5",46.187
"U",72.512,20,26.693,54.674,70.823,15.253,75.421,7.377,"Class2",46.591
"D",39.296,2,46.589,42.135,77.222,34.383,67.5,9.327,"Class2",29.469
"D",54.765,54,20.043,11.588,25.895,69.444,87.608,53.209,"Class1",28.612
"Q",50.371,54,78.196,32.051,22.647,40.583,44.222,55.736,"Class5",56.246
"D",41.874,78,22.535,20.456,22.643,62.417,58.057,77.692,"Class1",43.64
"L",77.407,32,97.184,42.334,92.814,49.075,20.531,9.24,"Class3",89.802
"B",74.272,32,96.016,88.774,87.283,80.924,19.586,17.399,"Class3",79.131
"N",31.906,29,64.512,88.283,64.494,39.448,74.345,74.154,"Class4",23.732
"B",67.209,53,23.815,11.588,13.753,69.844,73.616,60.186,"Class1",36.942
"C",25.14,71,91.378,86.111,70.156,50.347,62.338,47.645,"Class4",13.135
"T",49.962,65,22.177,18.874,28.335,66.214,58.159,64.057,"Class1",37.588
"P",49.998,37,40.335,34.293,57.839,48.444,28.888,41.36,"Class5",81.977
NA,47.959,67,56.868,28.378,10.833,52.174,44.834,67.565,"Class5",37.404
NA,56.208,74,20.112,15.978,16.217,60.217,82.609,85.462,"Class1",20.782
"A",48.538,41,32.022,82.025,68.816,48.248,19.763,55.392,"Class4",21.879
"T",43.582,83,21.776,11.122,13.489,64.477,52.62,73.412,"Class1",43.286
"W",48.296,65,66.984,32.768,36.579,42.738,39.066,64.283,"Class5",71.906
"G",62.363,77,25.006,8.274,26.696,61.58,69.165,50.579,"Class1",22.772
"L",42.184,43,52.359,71.859,40.566,47.552,42.92,78.651,"Class4",23.05
"A",18.547,28,70.259,89.466,31.226,48.212,51.486,NA,"Class4",11.976
"S",55.275,25,46.841,61.578,69.882,68.575,53.519,7.613,"Class2",32.639
"D",58.207,33,96.229,52.783,93.559,60.454,25.055,11.932,"Class3",78.041
"L",42.268,32,96.357,69.89,94.805,59.177,31.53,18.897,"Class3",88.67
"D",49.069,84,17.705,18.56,5.261,66.427,74.057,67.589,"Class1",26.948
"N",40.73,58,71.097,85.292,87.556,41.778,67.105,58.398,"Class4",18.224
"L",26.646,59,44.763,75.612,80.316,48.087,73.685,53.505,"Class4",21.943
"S",62.36,2,29.838,64.564,45.936,35.806,74.232,3.228,"Class2",43.969
"L",34.681,35,96.105,77.198,100.6,63.247,12.741,NA,"Class3",89.95
"C",44.638,8,73.762,70.59,41.906,48.713,42.386,58.011,"Class4",21.128
"G",55.301,52,23.997,13.205,32.7,68.96,85.726,60.054,"Class1",27.057
"D",38.21,9,43.748,92.006,102.51,46.475,61.017,8.98,"Class2",22.25
NA,63.74,79,23.605,17.079,15.007,66.136,83.268,66.139,"Class1",29.622
NA,55.726,17,27.016,91.917,78.93,59.68,60.202,NA,"Class2",37.174
"Z",66.189,76,20.531,17.864,18.294,64.572,63.62,61.066,"Class1",35.65
"C",44.027,41,61.831,82.863,36.033,50.339,52.588,72.445,"Class4",19.845
"B",49.16,35,99.844,94.177,96.181,65.481,30.422,7.977,"Class3",87.298
"Y",39.3,6,23.434,45.863,53.777,39.361,64.981,3.664,"Class2",24.073
"N",51.463,61,30.249,30.035,60.631,44.43,36.487,88.427,"Class5",51.168
"Y",69.482,35,99.367,75.025,92.33,74.574,54.709,5.902,"Class3",84.221
"N",48.321,49,59.379,30.662,43.062,43.941,45.42,47.034,"Class5",76.525
"A",30.041,50,47.829,68.957,41.062,46.596,81.857,74.662,"Class4",20.023
"P",48.655,60,23.821,25.417,-2.297,45.224,35.845,72.972,"Class5",44.974
"U",36.668,18,43.153,64.881,77.051,57.594,61.486,3.758,"Class2",13.79
"P",50.729,63,69.537,26.598,46.038,41.791,45.892,58.515,"Class5",55.557
"A",49.619,34,95.634,51.803,90.674,60.337,59.832,10.899,"Class3",66.243
"L",44.706,8,73.854,75.437,76.115,48.96,73.263,NA,"Class4",18.403
"Z",47.234,67,20.045,19.636,11.54,64.056,62.862,74.959,"Class1",26.503
"K",50.561,25,81.439,86.375,92.871,36.095,52.224,NA,"Class4",23.692
"P",46.001,37,67.577,33.089,43.267,45.197,35.861,89.781,"Class5",39.152
"G",62.929,85,21.734,9.554,17.187,69.559,78.169,64.279,"Class1",53.698
"Z",51.577,45,31.404,28.495,48.964,48.554,50.856,44.41,"Class5",63.463
"A",54.793,34,95.346,50.363,95.453,55.656,22.058,9.353,"Class3",77.988
NA,71.93,13,25.255,43.921,47.751,42.154,70.74,2.803,"Class2",28.755
"T",50.545,64,24.369,7.44,19.059,61.04,84.569,90.25,"Class1",35.988
"N",51.815,67,37.794,30.025,53.567,39.634,33.988,78.376,"Class5",56.92
"Q",47.872,60,48.296,27.87,-17.811,36.172,53.289,61.471,"Class5",46.018
NA,48.197,48,69.259,25.76,41.979,47.926,38.737,70.498,"Class5",46.854
"W",50.557,70,58.53,26.035,46.652,50.406,46.493,61.203,"Class5",52.64
"D",29.73,32,94.934,80.86,94.47,66.065,43.788,16.736,"Class3",97.694
"B",68.511,35,96.712,88.824,93.29,44.368,28.366,6.862,"Class3",87.553
"K",39.346,30,79.177,78.927,28.593,51.463,55.172,66.31,"Class4",18.213
"N",12.777,45,49.496,68.913,69.995,43.374,49.897,70.237,"Class4",27.662
"B",68.389,54,19.917,22.276,28.908,75.151,68.308,79.085,"Class1",49.079
"D",46.999,12,37.559,68.209,87.534,60.495,71.49,7.324,"Class2",65.997
"C",43.867,55,19.207,83.025,67.443,40.497,22.372,51.423,"Class4",18.84
"Z",51.36,42,44.332,32.703,38.203,51.925,52.449,62.325,"Class5",51.872
"L",64.943,33,97.991,34.471,91.826,44.622,59.261,17.604,"Class3",99.328
"N",37.269,68,45.626,85.772,74.012,56.836,24.267,56.795,"Class4",21.181
"A",49.61,34,42.583,71.842,109.2,43.061,41.849,71.131,"Class4",21.192
"Z",61.067,72,24.149,8.391,30.313,67.263,92.724,51.201,"Class1",49.804
"W",51.904,69,84.033,34.988,22.513,43.955,53.577,77.053,"Class5",49.024
"Y",23.695,35,98.663,79.848,98.497,58.108,15.397,17.61,"Class3",93.931
"L",42.148,5,105.598,69.536,74.373,47.749,34.623,45.934,"Class4",19.077
"S",66.54,20,29.548,83.357,65.178,-7.711,53.303,4.944,"Class2",31.686
"Y",68.515,22,32.785,64.605,74.222,66.422,67.101,2.684,"Class2",14.896
NA,49.482,56,5.405,34.16,15.4,50.524,40.428,78.465,"Class5",59.002
"A",68.664,35,98.364,32.889,101.37,60.799,18.427,16.989,"Class3",79.61
"L",67.086,34,93.937,66.309,97.672,76.781,25.01,8.617,"Class3",95.544
"T",54.731,62,20.639,17.852,26.516,61.352,88.932,75.938,"Class1",42.913
NA,57.66,34,95.007,84.533,87.531,43.555,49.126,14.16,"Class3",95.169
"A",22.198,61,65.829,75.144,86.413,55.726,43.767,45.094,"Class4",23.187
"D",35.111,24,45.191,89.131,73.457,45.903,70.945,1.615,"Class2",18.069
"L",32.284,32,93.393,91.317,94.39,70.945,48.974,13.834,"Class3",83.912
"K",14.84,23,74.689,85.688,72.101,44.516,63.256,60.344,"Class4",23.817
"D",40.606,35,97.146,71.385,97.52,74.715,13.735,15.23,"Class3",88.578
"U",55.826,10,28.091,87.143,52.985,25.682,52.727,4.666,"Class2",19.963
"N",42.527,32,73.717,84.771,57.67,41.296,59.373,72.035,"Class4",20.498
"B",55.076,68,21.283,17.567,20.746,69.625,91.548,55.17,"Class1",26.438
"Z",50.162,49,61.835,31.855,34.13,60.346,53.798,73.283,"Class5",44.26
"A",27.931,16,68.977,68.956,62.538,42.507,39.173,71.461,"Class4",18.202
"Z",64.127,52,20.64,13.596,15.473,61.226,41.53,83.74,"Class1",28.459
"Z",50.576,67,57.916,25.166,26.525,43.056,30.887,55.58,"Class5",51.447
"L",19.482,20,67.778,91.064,56.922,48.679,49.857,NA,"Class4",26.434
"N",50.621,51,50.662,25.165,30.929,41.607,43.162,59.695,"Class5",35.867
"U",75.626,14,10.545,56.411,98.837,33.851,57.802,9.451,"Class2",29.076
"B",76.715,32,96.022,89.92,99.828,58.664,58.735,14.819,"Class3",94.556
"K",37.669,62,80.128,67.66,60.566,43.621,49.864,67.632,"Class4",15.214
"Y",43.641,6,22.798,59.308,50.162,20.171,70.771,10.623,"Class2",30.132
"N",27.27,46,62.202,90.75,61.088,53.866,25.093,NA,"Class4",15.526
"C",15.323,51,84.604,84.858,50.086,49.815,38.096,79.295,"Class4",18.46
"Y",37.609,35,90.648,82.802,97.271,50.058,11.578,17.405,"Class3",88.142
"Z",44.735,14,40.725,85.083,81.705,1.002,62.378,NA,"Class2",26.733
"U",40.018,22,7.648,85.623,90.299,32.607,53.884,1.217,"Class2",13.216
"A",51.828,50,66.885,80.28,30.738,46.098,50.836,54.699,"Class4",19.481
"L",76.362,33,94.059,72.82,98.302,62.493,25.631,17.039,"Class3",84.375
"L",31.283,33,92.128,44.766,100.818,59.249,27.677,7.288,"Class3",81.541
"A",34.465,36,83.705,80.293,10.001,42.936,54.354,80.954,"Class4",27
"L",45.435,10,117.404,69.189,50.128,52.235,31.66,60.248,"Class4",19.122
"L",65.152,32,93.615,32.313,89.279,47.201,15.392,5.463,"Class3",105.514
"L",49.526,35,94.122,50.895,98.08,61.471,30.935,7.546,"Class3",86.002
"Y",63.874,34,96.761,68.485,93.814,47.601,42.494,9.789,"Class3",95.666
"D",50.205,34,98.126,58.713,93.839,49.793,59.24,17.911,"Class3",99.063
"L",33.269,34,96.916,33.524,94.493,46.703,37.558,6.907,"Class3",96.508
"B",35.833,35,95.226,36.028,84.157,49.104,28.025,16.917,"Class3",90.123
"Y",66.265,34,94.903,78.12,96.487,69.021,42.526,16.18,"Class3",103.764
"C",39.342,65,34.096,78.158,44.993,47.92,30.295,59.934,"Class4",23.593
"W",45.475,58,12.926,30.895,31.931,47.575,26.294,57.614,"Class5",48.085
"Z",47.429,58,25.866,32.523,-8.104,45.776,49.707,51.164,"Class5",50.709
"L",36.647,34,95.173,45.424,97.133,47.917,33.944,NA,"Class3",90.156
"B",33.114,32,97.179,90.051,97.907,66.412,10.101,17.562,"Class3",91.364
"W",44.887,57,58.15,32.272,30.369,52.937,32.165,45.211,"Class5",38.489
"G",70.513,55,20.963,16.721,14.74,70.684,55.341,52.032,"Class1",48.76
"U",38.811,14,22.245,75.369,48.508,35.076,63.98,NA,"Class2",24.888
"D",54.755,33,91.62,59.368,92.798,62.922,32.61,16.077,"Class3",89.032
"Z",47.096,55,34.025,34.55,12.305,39.137,32.599,51.997,"Class5",25.224
"L",45.522,68,57.065,82.083,55.682,45.367,54.684,45.082,"Class4",21.526
"T",65.259,64,22.269,19.206,15.873,62.51,64.822,94.733,"Class1",11.807
"N",50.784,41,69.763,32.942,31.838,47.389,53.239,58.096,"Class5",42.645
"N",33.414,26,46.291,91.449,61.922,34.569,70.722,56.039,"Class4",22.031
"P",47.837,64,68.034,26.982,6.703,41.705,30.657,74.463,"Class5",50.427
"N",35.424,5,93.178,87.051,62.952,46.419,69.553,50.743,"Class4",18.386
"B",55.361,62,21.002,12.925,35.721,66.55,45.754,48.182,"Class1",22.077
"N",47.907,24,81.511,84.74,26.34,43.683,81.1,70.761,"Class4",21.164
NA,50.167,43,100.566,89.324,39.461,40.537,38.823,77.023,"Class4",18.523
"T",57.249,52,28.013,8.005,18.726,63.872,92.384,90,"Class1",18.158
"N",13.729,61,53.292,71.669,67.537,39.808,30.827,65.256,"Class4",20.722
"Z",45.925,61,78.066,34.042,24.495,34.477,34.01,43.893,"Class5",72.094
"D",62.109,35,97.053,85.52,94.526,47.563,25.786,18.196,"Class3",78.909
"S",33.089,26,6.988,62.976,72.998,32.263,54.062,6.526,"Class2",27.881
"S",51.296,11,40.772,81.867,84.485,19.21,65.335,9.643,"Class2",30.356
"U",54.638,17,45.831,80.856,66.016,50.218,70.339,4.344,"Class2",36.439
NA,29.694,15,80.419,84.09,82.278,48.627,23.264,81.512,"Class4",21.475
"C",48.309,24,74.066,90.617,36.766,47.626,35.614,64.515,"Class4",25.221
"Z",48.833,61,76.481,32.298,5.879,49.898,47.262,75.114,"Class5",34.803
"D",58.538,17,38.167,91.047,77.231,20.354,69.327,8.269,"Class2",37.933
"B",44.83,67,22.754,11.47,40.412,67.958,74.987,46.918,"Class1",21.989
"N",50.981,66,34.186,27.516,36.417,48.268,50.087,71.255,"Class5",53.044
"L",42.769,43,88.602,68.9,90.056,51.252,47.608,47.833,"Class4",20.154
"A",47.18,34,93.971,31.347,93.604,71.314,30.747,19.772,"Class3",89.36
"Y",62.291,14,35.597,81.35,57.92,35.397,69.619,2.99,"Class2",8.648
"S",51.455,19,42.353,82.814,96.11,34.383,66.907,11.471,"Class2",28.321
"Z",48.526,64,36.29,32.836,70.199,60.057,33.347,65.989,"Class5",24.933
"D",56.538,5,15.879,77.152,104.017,47.074,61.67,8.022,"Class2",36.225
"U",36.464,12,24.506,47.317,54.621,15.628,65.367,4.677,"Class2",26.762
"B",50.13,34,96.423,52.595,93.108,71.918,19.425,8.862,"Class3",70.154
"Z",46.439,59,40.806,33.486,5.264,44.418,25.791,56.562,"Class5",43.925
"L",71.245,33,98.936,92.429,95.585,69.48,60.932,5.498,"Class3",66.401
"B",43.494,74,23.271,11.521,25.995,59.097,85.334,86.695,"Class1",31.719
"Y",45.304,11,36.126,55.802,73.137,28.598,73.27,3,"Class2",28.398
"U",55.896,5,31.031,55.824,58.227,3.909,53.492,11.818,"Class2",26.029
"G",62.846,73,21.968,8.039,22.51,75.294,86.438,90.4,"Class1",60.951
"Z",48.488,65,44.009,33.424,15.55,37.225,28.35,47.547,"Class5",76.845
"A",59.759,33,95.233,32.632,94.107,57.073,46.685,9.339,"Class3",88.259
"Y",23.632,33,94.18,39.936,93.55,61.332,25.077,12.568,"Class3",87.778
"A",31.534,32,91.95,95.661,93.665,57.476,14.29,17.416,"Class3",83.066
"S",73.08,19,32.464,92.448,60.615,30.659,67.021,3.673,"Class2",32.598
"D",68.969,61,21.128,14.348,12.193,71.394,51.601,56.261,"Class1",52.148
"A",75.741,34,95.462,52.334,98.649,61.595,21.407,5.906,"Class3",91.385
"N",47.873,54,20.593,29.174,-7.459,40.754,32.232,87.192,"Class5",50.664
"Y",59.357,4,20.46,67.259,83.973,-14.042,56.03,7.554,"Class2",46.717
"Q",49.647,40,64.049,31.97,54.836,49.802,47.969,NA,"Class5",18.534
"W",49.461,68,81.952,32.262,23.278,56.67,28.498,40.644,"Class5",52.113
"N",49.66,46,58.681,34.853,24.025,44.276,50.275,82.419,"Class5",20.762
"Z",59.268,84,21.999,20.634,28.211,65.908,66.743,92.136,"Class1",13.159
"S",34.498,3,24.452,67.601,44.561,5.322,64.043,6.525,"Class2",35.731
"B",55.437,81,21.763,14.321,26.678,62.409,42.668,83.928,"Class1",18.393
"Z",46.974,50,79.845,27.285,9.687,41.635,43.766,54.986,"Class5",55.092
"L",75.359,33,96.95,45.239,92.054,59.614,11.361,10.086,"Class3",91.553
"B",63.407,58,24.914,19.155,28.653,70.819,61.249,53.809,"Class1",39.053
"Z",46.243,56,62.995,32.185,1.029,54.771,29.2,68.003,"Class5",35.595
"S",61.367,24,33.301,45.252,37.819,21.798,65.811,9.791,"Class2",28.552
"P",51.486,68,49.152,29.544,18.023,52.908,26.204,57.125,"Class5",57.532
"B",67.705,71,19.427,7.309,34.59,77.216,76.301,NA,"Class1",42.209
"U",61.784,4,17.538,52.174,56.875,53.911,50.589,2.296,"Class2",17.14
"K",36.612,43,76.729,83.447,30.186,35.263,39.308,77.071,"Class4",19.407
"A",44.906,35,93.877,72.057,87.368,60.081,20.482,18.848,"Class3",91.49
"B",41.057,51,23.761,7.109,17.531,65.834,80.072,85.758,"Class1",25.732
"A",29.854,33,94.519,38.036,90.026,51.129,33.807,9.221,"Class3",99.869
"Y",38.57,22,27.793,72.429,128.448,10.786,67.219,4.388,"Class2",32.199
"Y",69.688,34,97.982,60.519,86.81,74.013,10.133,7.865,"Class3",75.729
"Q",48.394,43,28.639,31.798,44.556,48.272,26.685,42.345,"Class5",35.867
"Z",48.168,36,46.808,29.347,36.525,48.641,53.745,40.493,"Class5",63.204
"S",75.824,10,17.557,80.327,43.845,9.164,54.966,3.663,"Class2",18.23
"L",29.062,32,93.239,63.442,95.796,47.338,18.051,NA,"Class3",77.752
"D",69.062,50,18.778,16.143,27.011,67.498,74.179,55.587,"Class1",35.438
"D",81.608,33,90.932,93.014,86.665,74.443,18.736,17.707,"Class3",86.979
"C",35.432,63,71.347,69.976,23.584,55.593,80.144,77.264,"Class4",20.521
"A",28.709,8,66.526,78.062,33.553,43.922,64.625,65.077,"Class4",17.93
"G",54.806,56,14.38,7.229,13.975,65.84,46.301,60.072,"Class1",38.963
"C",21.314,38,40.046,72.424,55.631,48.811,33.758,74.954,"Class4",19.559
"A",42.912,58,63.638,78.161,33.022,49.069,79.687,49.293,"Class4",19.856
"B",73.881,32,95.584,73.103,96.848,66.51,45.053,15.028,"Class3",94.555
"A",44.083,34,96.707,64.542,95.98,55.041,57.166,7.798,"Class3",88.771
"T",70.96,79,18.861,13.285,11.107,70.7,43.512,71.431,"Class1",48.16
"Y",44.338,33,94.968,64.527,93.096,83.718,58.161,19.748,"Class3",91.06
"S",60.256,13,22.75,86.01,27.439,49.868,56.458,1.132,"Class2",18.778
"A",54.62,5,69.89,81.961,82.453,46.101,58.102,54.867,"Class4",18.266
"D",34.817,9,21.979,89.087,75.728,62.849,64.178,11.559,"Class2",21.847
"Z",47.697,50,18.433,19.253,19.383,70.693,68.799,89.928,"Class1",36.036
"B",26.736,32,96.965,92.894,93.128,73.019,54.029,9.435,"Class3",98.348
"Z",46.101,21,55.729,67.422,74.488,25.14,60.028,1.85,"Class2",33.312
NA,49.125,53,45.129,25.043,30.616,45.901,44.863,87.476,"Class5",58.133
"Y",47.501,35,100.213,92.658,88.815,48.506,49.362,18.985,"Class3",88.151
"C",15.182,69,68.499,74.493,81.94,47.824,33.751,75.606,"Class4",18.495
"T",67.025,74,23.657,16.314,28.731,74.672,53.541,54.335,"Class1",29.545
"G",51.181,56,20.995,10.926,31.926,66.965,74.927,47.605,"Class1",41.357
"T",65.623,87,22.993,22.209,-3.738,64.99,83.542,75.16,"Class1",46.756
"Y",45.301,20,24.751,45.602,80.382,53.306,69.432,10.067,"Class2",12.74
"N",36.737,60,67.13,75.621,17.684,39.963,46.517,73.836,"Class4",20.663
"L",65.889,34,91.546,54.66,89.687,68.584,21.567,8.131,"Class3",95.553
"S",37.153,12,31.832,81.224,67.6,26.344,74.339,10.286,"Class2",40.217
NA,49.437,33,99.571,35.655,99.703,65.436,59.262,12.6,"Class3",93.165
"T",44.388,78,25.082,13.42,35.746,67.574,64.326,50.104,"Class1",29.008
"C",18.143,62,39.001,72.892,65.46,46.437,29.665,49.636,"Class4",17.681
"Y",35.836,12,16.141,50.014,73.667,45.481,73.501,10.267,"Class2",43.341
"D",56.897,62,17.315,9.167,12.348,68.787,66.67,77.381,"Class1",51.389
"L",43.453,33,97.737,51.657,98.528,52.256,14.015,6.383,"Class3",92.511
"Y",52.151,10,33.234,74.232,57.912,28.121,59.375,10.354,"Class2",42.45
"A",30.193,61,44.177,68.135,49.305,35.87,67.078,66.433,"Class4",16.691
"D",55.257,35,97.016,69.814,96.092,67.196,38.453,17.425,"Class3",67.764
"G",52.398,54,17.571,11.508,38.438,65.281,42.237,89.764,"Class1",51.978
"B",40.43,34,90.515,64.914,96.022,57.293,26.295,8.135,"Class3",96.435
"N",49.537,43,67.37,28.711,15.974,44.328,53.048,61.666,"Class5",78.93
"B",66.932,86,25.143,20.827,14.904,68.701,71.67,94.11,"Class1",36.642
"W",44.048,38,57.368,34.3,53.006,47.354,45.468,78.155,"Class5",32.745
"T",57.628,66,25.492,11.747,30.648,61.193,50.819,93.786,"Class1",31.413
"Q",47.414,57,49.991,30.581,32.888,46.44,28.329,67.895,"Class5",48.235
"D",61.492,70,22.356,21.015,16.857,65.529,64.073,65.329,"Class1",30.714
"Q",51.489,70,78.224,34.903,0.194,41.322,49.096,NA,"Class5",28.557
"T",42.722,71,25.959,21.997,17.322,67.804,58.582,78.783,"Class1",29.608
"A",54.646,48,51.835,71.048,72.017,35.829,77.961,56.242,"Class4",19.593
"Z",44.082,18,30.364,83.826,90.548,7.423,51.32,8.747,"Class2",32.503
"D",66.361,60,21.594,18.858,24.975,65.422,91.477,63.37,"Class1",35.255
"Y",73.032,14,18.072,43.213,94.058,18.568,74.704,8.271,"Class2",41.914
"Q",45.704,59,47.037,27.381,51.008,38.731,45.081,89.094,"Class5",59.671
"D",64.874,34,97.916,62.432,93.282,62.564,57.123,11.349,"Class3",94.565
"C",43.984,6,38.375,88.553,48.072,37.253,78.063,82.83,"Class4",23.396
"Y",37.027,20,26.054,47.379,73.649,43.938,74.158,8.63,"Class2",26.625
"Q",51.24,49,30.261,29.095,22.135,51.154,37.135,76.726,"Class5",69.775
"D",81.125,33,92.305,96.091,96.178,55.564,46.489,17.59,"Class3",81.029
"U",46.818,11,36.986,86.284,33.343,17.829,57.284,7.125,"Class2",27.527
"D",51.211,79,21.875,19.557,15.427,61.916,92.97,64.887,"Class1",47.542
"Q",45.116,59,48.217,25.064,27.84,47.478,48.584,78.864,"Class5",18.617
"D",66.248,33,95.389,79.647,98.777,64.958,58.624,17.259,"Class3",88.789
"B",54.989,61,17.262,8.608,41.822,62.198,78.223,61.957,"Class1",19.147
"W",44.943,42,25.925,25.562,36.209,43.782,50.801,61.709,"Class5",37.379
"D",75.336,34,94.111,76.89,88.812,67.05,36.293,18.319,"Class3",89.017
"U",74.388,26,46.642,54.226,47.671,32.536,65.771,3.047,"Class2",19.797
"B",41.03,50,23.398,12.138,26.025,66.34,68.894,70.278,"Class1",46.869
"T",62.975,69,19.412,10.018,34.539,63.066,83.571,69.148,"Class1",46.548
"Z",43.207,61,25.407,13.69,14.486,70.637,85.479,77.072,"Class1",46.278
"B",47.676,34,93.758,34.072,97.776,54.435,27.356,17.814,"Class3",90.834
"C",53.084,45,49.871,85.755,39.547,45.552,45.621,49.136,"Class4",19.44
"A",31.621,18,63.736,69.931,23.595,48.524,61.113,76.43,"Class4",23.865
"K",30.578,61,72.066,87.224,51.126,43.303,35.662,64.671,"Class4",23.643
"K",24.459,56,91.002,81.773,57.942,46.877,46.709,53.225,"Class4",15.894
NA,64.966,62,24.009,12.62,28.145,64.01,73.732,49.935,"Class1",25.69
"S",41.348,2,23.552,59.939,81.606,35.923,63.852,11.34,"Class2",42.201
NA,44.009,6,73.907,73.595,31.931,53.851,63.573,47.173,"Class4",24.375
"N",44.339,70,30.911,33.028,37.921,40.726,28.787,57.625,"Class5",45.291
"Y",43.661,11,24.897,91.895,94.362,37.585,72.465,8.545,"Class2",33.055
"S",73.131,11,35.147,87.143,84.503,9.988,60.375,7.761,"Class2",49.743
