"UAZ1","IMG2","POB3","GLF4","HMU5","LVK6","RYA7","NVU8","Output21","PWB9","JCR10","OTJ11"
"I",70,26.183,27.259,89.447,33,2.631,49.205,"Class1",51.358,62.968,92.282
"G",77,52.834,6.198,24.822,24,17.855,31.668,"Class3",84.954,29.783,29.583
"X",65,44.903,47.174,51.632,35,52.992,23.622,"Class2",83.385,48.003,69.273
"J",44,26.387,20.968,96.121,71,38.294,66.712,"Class1",28.77,58.986,94.468
"F",36,83.144,81.852,71.272,47,79.176,41.815,"Class4",82.65,34.046,30.726
"F",52,82.071,68.54,73.327,26,80.883,17.048,"Class4",84.653,61.78,44.114
"T",68,85.802,81.602,60.676,29,77.651,44.009,"Class4",87.361,49.8,28.667
"T",43,85.271,96.145,72.591,26,82.649,43.177,"Class4",83.126,51.39,40.226
"I",56,50.743,18.587,89.844,52,73.537,NA,"Class5",33.793,42.143,28.304
"W",24,87.606,47.687,88.404,53,70.022,80.998,"Class5",29.388,88.017,34.482
"M",65,90.856,75.49,68.977,36,87.404,23.719,"Class4",98.555,41.112,44.692
"U",52,87.216,68.772,70.561,34,81.562,13.564,"Class4",94.731,34.775,29.511
"D",80,57.999,42.092,25.205,17,18.897,42.639,"Class3",87.014,51.442,28.178
"I",2,25.55,21.983,85.137,36,50.58,62.154,"Class1",29.448,62.577,20.516
"J",43,26.173,24.515,82.916,74,0.653,65.755,"Class1",31.032,61.385,40.671
"F",48,87.376,71.583,64.727,35,81.477,28.526,"Class4",87.837,66.334,37.513
"I",39,25.648,16.997,65.081,77,5.471,62.207,"Class1",28.288,62.837,45.466
"S",64,75.74,34.076,88.361,53,45.885,81.579,"Class5",32.103,44.06,29.821
"T",9,27.057,20.08,61.759,70,37.136,63.351,"Class1",31.387,58.018,38.64
"X",59,40.797,65.685,60.888,25,24.612,37.601,"Class2",69.219,33.648,32.31
"J",41,26.315,26.251,75.374,42,36.754,54.832,"Class1",36.453,60.147,62.518
"D",84,56.771,1.459,30.784,14,18.229,32.762,"Class3",76.316,62.978,30.884
"M",36,67.633,54.565,86.823,55,35.076,79.259,"Class5",32.663,38.194,26.711
"U",87,83.352,78.565,67.304,42,84.31,28.913,"Class4",91.481,36.415,37.797
"G",80,62.981,30.377,38.11,14,17.784,48.196,"Class3",70.089,74.557,29.845
"M",20,63.309,24.388,88.731,61,54.663,80.074,"Class5",29.545,59.515,30.381
"Z",63,34.054,59.539,59.469,15,73.451,4.419,"Class2",80.919,16.913,36.852
"M",51,61.166,23.074,88.228,65,70.962,79.201,"Class5",27.994,95.605,29.627
"G",63,26.248,27.241,64.332,39,17.475,58.932,"Class1",40.23,61.795,51.345
"S",20,90.359,34.203,85.647,52,42.28,81.698,"Class5",27.629,69.508,34.19
"T",51,26.228,22.339,85.094,79,59.939,56.004,"Class1",41.803,59.612,80.472
"W",29,56.217,30.456,85.699,63,64.93,76.815,"Class5",30.696,61.812,30.08
"M",48,87.477,71.338,79.346,44,87.568,22.174,"Class4",85.636,60.427,42.829
"G",55,25.742,25.502,69.485,77,18.77,49.906,"Class1",33.794,59.565,62.549
"X",76,72.604,12.637,49.926,17,17.687,26.742,"Class3",82.37,48.241,29.805
"O",63,34.531,58.484,59.57,35,4.146,22.391,"Class2",86.342,20.305,53.582
"S",54,73.189,26.242,NA,64,61.719,81.849,"Class5",26.588,52.753,27.875
"S",45,77.652,12.984,90.309,56,67.283,80.111,"Class5",30.412,94.053,31.117
"M",80,56.066,15.931,43.368,17,18.595,67.918,"Class3",49.024,18.739,29.429
"B",31,27.535,23.968,85.579,48,21.38,67.945,"Class1",40.018,61.282,77.244
"X",61,46.227,55.303,50.628,24,47.479,9.714,"Class2",80.965,50.134,69.733
"Z",86,84.971,67.261,71.734,30,88.085,-5.962,"Class4",77.79,60.356,35.435
"X",62,52.13,60.571,59.835,24,86.48,7.967,"Class2",78.498,49.421,55.371
"M",44,70.511,16.302,92.238,55,75.471,77.872,"Class5",25.673,54.016,27.945
"F",17,84.849,95.472,68.849,27,81.747,33.923,"Class4",90.864,50.58,34.576
"S",50,66.368,40.459,86.722,54,61.827,NA,"Class5",28.563,29.103,32.522
"D",83,48.532,39.04,39.095,10,17.208,43.202,"Class3",65.681,64.669,28.512
"G",71,67.686,28.657,53.174,26,17.729,48.441,"Class3",61.201,10.964,28.5
"M",15,88.929,83.353,59.569,44,85.834,13.269,"Class4",86.119,40.69,31.031
"I",53,59.004,32.13,85.62,54,68.633,81.459,"Class5",27.993,30.298,31.831
"G",18,26.528,21.437,44.397,31,88.696,53.098,"Class1",40.219,59.514,27.691
"L",62,41.069,58.239,56.168,21,22.52,21.664,"Class2",77.409,49.183,83.219
"F",11,89.803,86.034,62.192,31,86.675,14.511,"Class4",96.865,58.701,32.244
"W",58,68.382,28.207,87.134,57,58.741,82.542,"Class5",23.201,30.024,36.783
"I",51,25.475,18.362,66.547,36,76.906,45.394,"Class1",32.342,61.483,84.476
"O",80,55.15,22.282,38.338,19,17.456,36.096,"Class3",66.156,25.768,30.875
"U",50,84.467,71.907,63.326,33,80.729,8.167,"Class4",88.399,52.686,30.181
"I",41,25.19,18.739,95.744,76,40.528,70.504,"Class1",41.265,61.534,44.403
"L",59,29.481,67.31,57.105,33,76.984,11.877,"Class2",85.023,28.003,43.948
"L",64,47.833,41.608,60.464,33,25.021,25.81,"Class2",78.416,19.989,33.181
"U",45,84.628,71.739,70.337,37,80.925,13.066,"Class4",87.889,61.244,33.956
"X",84,43.427,10.172,31.187,27,18.558,26.011,"Class3",93.189,17.984,30.251
"X",64,30.418,52.849,60.157,34,56.163,15.208,"Class2",81.596,58.113,47.667
"B",4,25.98,16.092,67.671,60,56.189,52.346,"Class1",27.099,58.969,43.011
"I",25,26.099,15.484,67.087,40,62.564,45.391,"Class1",40.126,62.364,71.349
"M",31,81.695,51.175,90.297,53,62.673,79.497,"Class5",36.393,80.828,25.893
"D",73,68.445,13.82,35.093,13,18.484,44.664,"Class3",76.359,35.341,30.19
"M",23,60.518,24.853,87.413,64,65.171,78.396,"Class5",27.692,50.446,26.066
"T",71,25.194,17.722,71.491,43,62.449,55.381,"Class1",33.82,58.978,29.582
"T",11,25.158,18.785,54.38,58,56.632,56.637,"Class1",40.925,58.895,93.329
"Z",22,80.758,83.082,66.378,45,85.951,15.041,"Class4",80.153,41.261,43.002
"O",82,47.034,20.248,54.646,27,17.802,56.677,"Class3",79.104,31.996,30.235
"O",81,63.079,28.866,47.555,24,18.904,35.168,"Class3",73.323,78.196,30.182
"I",63,71.446,25.391,93.059,63,51.304,82.648,"Class5",35.966,85.359,25.914
"G",1,26.561,16.977,61.902,35,78.583,53.993,"Class1",29.465,58.779,82.13
"U",16,85.934,73.396,62.678,41,82.171,26.649,"Class4",79.587,61.024,38.91
"S",46,57.838,14.864,90.637,57,54.001,81.87,"Class5",32.261,90.517,25.273
"X",73,29.818,20.785,45.071,9,18.601,26.557,"Class3",64.279,16.542,28.229
"Z",61,36.262,61.139,58.356,36,1.431,23.598,"Class2",81.919,53.804,46.633
"I",78,26.761,16.25,79.761,38,21.656,53.938,"Class1",35.595,59.223,44.274
"I",44,48.237,44.881,89.722,64,73.879,81.454,"Class5",31.437,28.222,29.694
"I",27,80.041,46.306,89.736,57,51.274,80.685,"Class5",31.735,99.335,26.896
"G",4,26.134,21.048,84.376,47,30.202,61.463,"Class1",32.889,62.153,63.057
"I",67,26.266,23.93,95.854,77,42.112,47.81,"Class1",36.373,60.608,21.462
"T",51,25.917,24.186,83.487,32,83.382,50.335,"Class1",36.967,59.563,87.049
"M",74,84.804,92.134,75.684,33,85.706,19.181,"Class4",93.401,63.133,44.433
"T",17,83.061,97.511,70.732,30,81.782,12.767,"Class4",74.491,48.328,40.481
"I",66,77.229,32.007,94.188,55,67.168,79.909,"Class5",29.542,54.905,33.218
"O",64,38.533,45.188,50.913,29,42.994,9.046,"Class2",86.332,38.777,32.765
"G",28,26.619,19.312,77.837,81,72.109,46.661,"Class1",33.864,58.444,23.963
"T",10,85.057,81.431,69.591,36,77.196,1.229,"Class4",89.937,49.996,44.4
"F",46,85.662,70.946,74.09,42,80.195,-4.751,"Class4",92.739,39.232,39.996
"M",53,83.339,33.844,85.749,54,51.855,80.663,"Class5",25.503,77.036,36.709
"X",78,43.613,16.239,49.394,15,18.088,41.371,"Class3",103.313,91.137,29.751
"T",32,26.239,13.977,56.841,31,71.822,53.981,"Class1",45.884,60.072,62.376
"M",57,62.895,54.916,84.372,64,65.46,82.284,"Class5",29.538,68.838,30.808
"X",75,55.709,2.847,43.87,14,17.231,32.51,"Class3",67.953,65.013,28.276
"U",64,84.221,66.18,71.277,29,78.938,NA,"Class4",86.23,68.41,41.039
"M",38,85.297,71.784,70.834,46,80.1,11.561,"Class4",87.532,46.265,28.544
"T",63,24.48,15.865,73.51,35,5.525,58.774,"Class1",37.9,60.062,43.425
"D",88,52.276,6.445,43.51,26,18.307,38.105,"Class3",91.545,41.883,28.342
"D",76,57.44,39.236,47.477,24,17.425,3.343,"Class3",74.847,27.619,30.81
"M",78,58.558,6.029,61.084,10,17.001,40.271,"Class3",66.312,51.519,28.081
"M",71,58.869,21.436,32.879,23,18.298,45.005,"Class3",61.466,18.686,28.975
"G",78,61.458,28.492,46.04,11,18.865,33.73,"Class3",88.826,17.288,30.811
"G",73,46.344,6.913,NA,19,18.862,NA,"Class3",99.514,16.358,30.589
"Z",79,83.887,87.694,69.175,32,84.971,27.233,"Class4",92.808,50.539,31.264
"X",62,40.42,54.004,56.622,30,31.78,44.06,"Class2",72.432,55.934,39.453
"D",79,67.774,31.684,50.156,25,18.771,39.26,"Class3",93.832,27.478,28.849
"Y",59,38.383,65.43,53.249,31,71.391,19.605,"Class2",73.603,19.98,33.416
"W",26,96.664,42.034,85.449,53,63.051,79.878,"Class5",32.166,82.716,30.626
"F",45,84.46,84.488,70.025,46,79.482,16.019,"Class4",85.092,62.765,39.383
"U",52,87.681,87.56,64.753,32,88.292,20.777,"Class4",87.486,45.046,39.901
"W",31,55.329,26.174,91.393,58,64.215,81.899,"Class5",31.464,97.729,30.247
"D",42,81.813,22.848,88.936,63,40.499,81.847,"Class5",34.563,67.284,35.901
"Z",26,86.299,67.874,68.57,36,83.668,23.605,"Class4",93.732,54.058,32.57
"B",59,25.274,20.843,98.182,83,22.119,56.793,"Class1",36.697,60.136,91.894
"X",82,49.014,5.51,43.83,27,18.66,30.312,"Class3",80.767,87.908,28.251
"I",35,59.745,45.005,86.654,55,45.013,80.636,"Class5",24.866,84.97,32.614
"S",67,65.656,9.989,90.11,53,75.2,81.237,"Class5",30.24,97.098,25.496
"I",67,25.382,21.15,85.801,48,31.715,47.107,"Class1",43.191,58.41,28.049
"D",55,59.984,53.131,85.571,52,74.122,81.415,"Class5",29.942,65.233,29.684
"I",37,25.092,24.807,64.116,30,28.494,59.091,"Class1",46.303,59.37,19.782
"M",16,85.425,68.541,73.61,27,78.576,17.112,"Class4",85.724,68.88,28.645
"D",48,68.094,54.976,87.265,54,59.537,81.428,"Class5",28.957,30.38,25.212
"T",79,89.697,98.655,73.478,44,80.329,23.916,"Class4",82.378,60.317,32.125
"T",71,25.426,21.996,71.032,63,43.77,57.79,"Class1",39.134,61.185,59.746
"X",65,41.617,79.507,55.922,17,53.034,15.476,"Class2",75.485,33.091,66.406
"I",59,62.296,29.362,87.568,59,59.034,79.175,"Class5",28.776,38.933,36.951
"F",53,87.983,65.079,62.963,43,79.285,29.526,"Class4",73.485,59.937,29.843
"Z",38,84.579,76.088,58.367,31,83.899,22.235,"Class4",81.888,64.225,38.248
"T",9,25.83,26.417,49.633,62,19.335,NA,"Class1",39.655,59.516,37.373
"O",62,53.239,53.996,NA,32,3.238,11.783,"Class2",91.165,40.797,73.64
"M",57,77.272,28.035,87.246,65,62.916,78.675,"Class5",25.641,47.573,29.216
"W",46,53.535,37.463,90.793,63,52.268,81.487,"Class5",28.392,53.636,28.582
"M",35,71.94,32.325,88.649,54,73.56,79.619,"Class5",36.537,41.23,32.346
"O",84,51.718,33.409,34.446,13,17.403,40.47,"Class3",81.805,44.869,29.763
"T",45,26.297,24.259,108.876,30,17.092,56.167,"Class1",33.225,60.865,75.354
"Z",65,44.236,68.397,57.026,26,48.935,4.435,"Class2",79.275,33.932,57.844
"W",25,74.313,29.258,88.38,59,45.42,81.446,"Class5",34.99,92.818,30.273
"D",32,78.122,13.71,90.549,65,66.146,82.927,"Class5",31.481,54.096,28.311
"T",87,84.425,80.723,71.188,33,87.967,19.058,"Class4",88.585,69.768,37.262
"G",25,25.491,19.951,73.964,44,61.418,53.166,"Class1",41.759,60.18,72.394
"M",71,44.468,35.344,37.828,27,17.984,NA,"Class3",75.164,94.554,29.659
"O",74,42.522,29.853,37.306,25,17.813,27.771,"Class3",69.98,61.228,29.005
"D",44,79.425,32.031,NA,64,54.111,81.588,"Class5",26.493,47.052,26.363
"T",11,26.391,16.941,81.372,54,19.84,40.423,"Class1",35.921,58.007,58.102
"T",70,26.308,25.558,43.862,58,23.24,50.762,"Class1",40.011,61.475,93.908
"U",63,83.612,72.088,69.377,46,83.841,14.537,"Class4",87.963,38.282,44.768
"T",13,25.613,15.362,68.44,44,83.803,42.772,"Class1",36.577,61.3,78.741
"G",9,25.315,13.691,64.542,75,80.488,45.388,"Class1",42.981,60.161,41.01
"I",15,26.57,12.528,93.217,43,43.569,49.583,"Class1",46.789,58.556,20.316
"X",74,66.419,40.07,46.785,27,18.353,54.465,"Class3",59.778,85.217,29.833
"I",21,50.222,14.319,85.023,62,48.583,81.25,"Class5",27.33,79.251,35.379
"W",59,64.717,18.274,87.981,62,36.584,79.023,"Class5",28.673,84.498,31.472
"L",59,48.526,63.512,58.127,22,80.356,24.567,"Class2",70.8,41.272,73.699
"D",40,76.525,27.24,86.127,53,72.47,79.464,"Class5",37.756,78.396,34.201
"G",71,54.408,14.138,37.053,21,17.5,64.799,"Class3",71.436,83.42,28.284
"U",56,85.203,89.076,67.944,40,87.535,7.648,"Class4",91.7,58.528,44.246
"Z",25,87.052,70.547,NA,45,86.609,23.139,"Class4",84.956,54.451,41.11
"G",6,26.266,21.44,88.918,52,46.556,42.793,"Class1",39.724,62.865,67.915
"B",15,26.476,12.592,85.607,72,10.119,56.885,"Class1",33.359,60.361,51.363
"X",72,37.545,8.701,50.737,21,18.702,36.719,"Class3",80.3,82.762,28.807
"W",64,63.76,48.864,86.783,61,55.711,79.937,"Class5",28.304,92.705,36.203
"I",58,69.682,15.067,87.906,61,48.541,81.139,"Class5",26.055,81.569,25.726
"M",76,35.64,4.682,43.94,19,18.81,19.076,"Class3",93.274,43.519,30.531
"F",31,82.887,87.129,80.261,46,88.959,40.603,"Class4",90.305,46.813,39.028
"D",80,23.362,40.922,37.094,11,18.527,50.152,"Class3",83.845,97.347,29.117
"O",61,37.676,38.819,54.799,24,70.138,25.355,"Class2",75.912,42.874,69.24
"G",79,65.954,32.224,41.672,11,17.818,26.258,"Class3",65.206,40.52,30.257
"M",87,85.501,88.195,75.177,34,78.947,6.902,"Class4",90.748,57.968,30.025
"D",77,50.591,22.17,30.54,20,17.349,44.535,"Class3",74.58,95.445,29.679
"M",72,83.889,70.371,63.4,36,81.379,33.419,"Class4",87.111,52.914,32.157
"O",60,33.186,41.774,57.428,19,71.19,0.995,"Class2",82.869,46.794,78.598
"F",10,81.676,94.162,70.858,34,79.815,16.821,"Class4",88.163,34.3,28.561
"L",61,41.87,43.67,62.519,29,17.169,21.721,"Class2",80.898,48.61,79.722
"O",72,48.399,33.199,51.75,13,17.589,30.984,"Class3",77.502,74.782,28.686
"G",70,25.983,24.111,63.398,36,74.553,59.312,"Class1",30.549,61.906,40.318
"M",81,63.777,15.205,50.549,14,18.954,53.171,"Class3",85.958,38.08,30.145
"T",27,26.248,24.367,63.297,35,32.549,69.259,"Class1",32.518,59.515,75.799
"M",77,37.22,36.417,36.925,17,18.944,36.27,"Class3",72.439,62.623,29.697
"T",77,26.294,18.938,83.09,42,11.606,56.403,"Class1",37.083,58.09,76.62
"D",86,60.265,32.631,NA,16,17.082,15.184,"Class3",87.079,37.125,28.189
"Y",66,41.679,60.951,56.263,31,36.329,13.727,"Class2",85.116,39.161,46.389
"X",71,54.218,40.771,34.977,11,17.055,27.595,"Class3",67.295,71.378,30.717
"G",11,25.567,19.624,52.538,29,57.132,46.553,"Class1",32.093,61.124,54.693
"M",30,78.078,39.508,85.395,62,35.838,81.333,"Class5",26.927,70.484,28.281
"O",61,57.928,42.739,58.079,23,79.459,5.282,"Class2",76.58,47.031,73.692
"O",75,53.242,15.034,43.799,16,17.846,43.162,"Class3",78.417,16.879,28.949
"I",50,26.953,19.471,79.51,70,21.749,51.735,"Class1",35.451,59.455,74.963
"G",78,65.919,21.77,32.205,24,18.31,45.214,"Class3",78.559,48.926,30.656
"M",51,76.415,18.716,90.321,55,78.262,80.13,"Class5",21.872,30.711,26.617
"W",64,74.638,30.373,88.113,61,62.467,80.974,"Class5",28.09,90.363,35.975
"G",20,25.873,24.477,90.563,51,75.326,68.558,"Class1",36.636,58.822,86.717
"X",80,43.302,14.226,64.277,9,17.511,15.052,"Class3",85.187,35.909,28.728
"M",23,59.018,27.506,89.445,51,50.079,80.774,"Class5",24.904,28.813,26.337
"I",18,27.815,27.88,61.224,36,47.102,63.213,"Class1",35.739,61.629,49.528
"G",80,59.658,36.142,43.749,9,18.37,42.045,"Class3",78.019,26.233,30.659
"U",77,84.444,80.807,76.067,46,83.007,24.903,"Class4",85.857,50.633,37.939
"T",38,25.726,21.476,84.01,55,13.26,55.34,"Class1",39.044,59.895,68.579
"M",24,91.607,19.142,86.267,57,74.92,80.534,"Class5",36.899,78.697,33.308
"J",52,26.667,13.434,80.903,79,2.546,60.236,"Class1",37.934,60.516,35.728
"B",69,26.007,27.806,57.707,78,63.093,37.033,"Class1",43.067,58.784,59.277
"O",80,53.456,28.414,39.367,15,17.127,29.347,"Class3",79.467,57.637,30.235
"O",66,47.777,71.046,54.24,36,17.306,12.029,"Class2",82.909,32.024,36.973
"X",64,45.082,79.649,54.114,19,35.886,9.22,"Class2",69.59,14.46,37.956
"D",73,21.356,14.469,39.374,15,17.807,34.207,"Class3",59.251,70.19,28.862
"U",50,82.206,65.409,69.348,41,80.824,23.253,"Class4",88.975,39.858,36.735
"U",48,84.897,72.783,66.418,30,81.661,5.614,"Class4",99.367,47.584,41.743
"G",71,55.885,33.055,47.792,23,17.613,50.179,"Class3",65.796,30.54,30.608
"I",53,26.158,22.092,72.659,70,86.805,66.373,"Class1",27.269,62.572,40.313
"Y",65,49.795,78.042,56.686,23,17.975,24.052,"Class2",74.561,26.804,50.489
"Z",69,85.997,71.462,69.915,40,80.826,27.568,"Class4",93.25,36.455,43.042
"L",60,36.85,66.193,53.104,33,54.137,19.42,"Class2",81.442,40.683,51.646
"D",79,41.177,37.426,47.072,13,17.575,37.737,"Class3",77.955,84.894,28.814
"F",43,83.488,95.003,74.747,27,86.623,41.522,"Class4",85.518,61.479,36.065
"F",79,87.612,94.598,74.48,41,84.737,30.232,"Class4",97.445,53.652,34.167
"Z",59,82.388,72.389,68.022,45,77.915,-0.898,"Class4",80.407,56.369,33.324
"X",88,44.325,33.131,51.183,27,17.086,39.742,"Class3",85.863,88.643,29.995
"B",35,25.92,15.757,83.168,44,27.321,61.003,"Class1",44.753,62.237,29.118
"G",84,37.245,18.276,41.022,20,17.444,22.119,"Class3",100.525,83.935,29.545
"M",84,56.132,31.201,40.13,22,18.606,32.024,"Class3",80.768,73.744,30.41
"D",22,70.086,33.334,86.658,61,56.356,80.032,"Class5",32.936,37.272,33.978
"G",7,24.939,25.193,65.491,58,23.872,47.709,"Class1",32.301,58.356,81.523
"X",75,49.226,2.533,38.569,15,18.932,9.749,"Class3",76.638,65.784,30.036
"B",8,26.736,19.257,98.266,72,80.302,64.138,"Class1",37.592,59.282,68.742
"W",22,42.145,10.153,91.43,56,47.6,80.357,"Class5",30.515,70.952,29.915
"I",18,26.119,20.434,56.355,33,70.798,54.434,"Class1",36.548,61.047,39.638
"O",65,58.061,64.938,59.956,30,34.438,9.929,"Class2",81.831,24.857,83.853
"D",82,46.997,17.212,NA,23,18.002,36.253,"Class3",81.588,54.656,29.429
"X",63,35.271,43.1,61.436,32,87.55,11.335,"Class2",84.949,50.19,35.509
"T",72,83.659,98.814,71.674,43,84.369,31.311,"Class4",80.142,58.011,35.849
"B",11,24.79,27.612,76.957,72,27.601,53.2,"Class1",33.853,61.098,62.359
"S",45,71.188,54.716,87.451,52,75.402,79.201,"Class5",35.126,79.163,27.637
"D",61,50.478,25.621,89.777,64,77.175,80.887,"Class5",36.371,59.117,36.308
"S",32,79.428,33.592,87.568,55,72.005,81.569,"Class5",27.152,99.38,33.978
"W",59,55.848,49.33,87.699,58,45.012,81.432,"Class5",35.082,59.938,33.549
"T",55,86.703,65.971,60.366,28,77.051,-4.709,"Class4",80.296,45.505,34.663
"I",34,71.855,9.436,90.992,56,41.295,80.692,"Class5",28.382,81.395,29.028
"G",75,47.557,20.652,NA,21,17.492,60.268,"Class3",84.006,39.336,30.182
"I",31,48.001,20.515,90.068,57,47.553,79.519,"Class5",27.727,30.332,29.768
"M",72,37.531,28.533,34.349,23,18.146,46.608,"Class3",53.541,66.807,30.205
"I",69,78.939,45.873,87.756,59,58.861,82.757,"Class5",32.132,49.257,29.983
"O",80,49.964,28.513,40.842,18,17.864,33.652,"Class3",76.742,56.084,28.47
"S",54,73.979,43.981,86.187,56,73.265,82.716,"Class5",24.833,38.072,34.64
"T",18,26.482,21.441,85.006,46,74.516,47.905,"Class1",33.001,59.203,94.904
"I",79,25.241,16.458,60.081,84,28.386,47.566,"Class1",34.936,62.567,47.189
"X",66,14.45,54.139,NA,18,72.943,NA,"Class2",80.889,42.355,47.164
"G",1,24.271,19.624,75.935,81,51.806,58.59,"Class1",33.783,61.746,56.344
"T",33,26.532,18.906,73.59,56,20.352,60.655,"Class1",37.391,58.713,19.163
"F",30,82.968,68.495,75.007,36,84.524,-4.157,"Class4",90.005,62.526,31.994
"X",60,47.113,56.53,58.364,33,79.029,9.634,"Class2",76.567,26.764,65.779
"I",26,24.659,13.307,63.717,75,6.745,43.399,"Class1",39.545,58.272,30.896
"Z",62,45.353,48.628,55.148,29,61.088,26.468,"Class2",83.724,17.242,56.708
"M",35,79.692,70.794,72.321,30,83.632,11.735,"Class4",83.181,58.424,36.241
"O",62,52.364,52.364,NA,28,44.305,20.159,"Class2",75.752,43.221,45.256
"I",27,52.036,48.441,91.205,64,53.158,80.613,"Class5",34.694,79.078,27.87
"M",82,64.326,22.784,49.618,18,18.648,28.507,"Class3",81.764,97.46,30.347
"S",42,54.712,15.662,87.233,62,72.542,83.54,"Class5",30.605,34.111,36.995
"G",59,25.449,12.647,90.195,40,47.494,51.555,"Class1",34.371,59.806,80.961
"J",51,26.296,25.085,66.858,62,65.407,41.551,"Class1",37.95,58.634,47.777
"M",73,56.338,5.416,22.389,22,18.945,45.578,"Class3",66.429,90.046,28.691
"F",70,87.288,97.008,68.404,39,80.363,42.477,"Class4",79.238,54.767,36.853
"S",28,71.884,13.022,93.126,51,56.794,79.865,"Class5",26.289,95.304,33.513
"L",63,40.907,66.849,53.125,19,51.369,16.495,"Class2",81.165,49.01,59.587
"T",54,26.648,27.435,72.238,39,13.116,47.696,"Class1",29.658,59.202,30.022
"G",78,33.416,26.536,34.966,25,18.304,NA,"Class3",79.001,48.894,30.481
"M",16,84.281,94.989,68.582,43,87.627,31.276,"Class4",84.167,55.362,29.872
"D",29,63.05,28.572,89.552,56,53.415,79.787,"Class5",18.63,66.169,33.047
"O",81,44.711,20.409,32.149,19,18.644,41.163,"Class3",80.926,76.215,28.22
"Z",61,54.228,58.25,60.854,22,28.812,42.686,"Class2",86.579,30.375,84.555
"M",72,49.291,41.209,44.28,14,17.501,42.065,"Class3",85.005,52.584,30.468
"J",31,26.739,19.921,97.473,73,89.1,54.346,"Class1",40.077,59.658,55.718
"T",32,25.865,25.553,88.154,50,4.211,52.969,"Class1",40.053,58.631,24.087
"M",44,75.403,10.271,NA,55,49.797,80.266,"Class5",30.504,86.401,36.818
"G",62,26.8,25.087,74.481,45,69.657,60.167,"Class1",27.777,62.052,93.261
"G",71,46.308,25.405,49.172,19,18.741,36.912,"Class3",64.868,44.922,28.084
"W",27,67.838,34.523,82.875,57,67.858,79.022,"Class5",24.112,98.396,31.754
"X",71,43.282,5.857,48.941,11,17.983,22.161,"Class3",85.099,59.592,28.034
"I",29,25.52,22.016,54.3,70,27.76,52.493,"Class1",41.448,62.257,87.565
"W",28,72.783,46.198,93.215,53,52.533,82.419,"Class5",31.815,51.506,33.765
"O",62,37.309,77.29,56.544,32,44.451,23.269,"Class2",90.223,30.336,59.837
"X",87,57.168,41.965,38.928,11,18.912,31.078,"Class3",74.9,60.122,28.723
"O",86,67.592,35.625,37.713,25,17.215,33.136,"Class3",79.864,80.148,28.227
"M",73,39.896,41.66,38.858,24,18.95,26.965,"Class3",77.271,75.933,30.078
"Z",62,47.715,59.434,61.716,21,47.881,34.534,"Class2",70.628,48.595,41.699
"J",59,26.384,15.552,86.344,62,84.586,54.294,"Class1",37.701,61.084,18.322
"G",63,26.023,19.594,58.279,57,17.716,46.619,"Class1",38.908,59.786,59.341
"Z",60,29.702,74.793,63.092,28,4.59,21.038,"Class2",76.107,31.046,55.159
"I",12,26.082,14.594,62.733,34,59.738,40.515,"Class1",37.926,59.949,36.38
"W",52,83.834,54.987,87.477,63,59.793,NA,"Class5",31.335,36.47,32.515
"S",30,67.156,27.183,83.674,59,60.2,80.507,"Class5",31.239,87.915,31.212
"W",25,65.226,30.101,89.694,61,56.263,79.279,"Class5",29.672,94.959,34.097
"W",50,73.06,27.846,91.446,56,55.991,80.497,"Class5",29.559,91.501,25.506
"X",66,26.152,75.713,58.339,26,47.049,-7.333,"Class2",86.011,41.323,31.796
"U",54,84.516,96.865,79.245,34,88.455,22.542,"Class4",90.547,53.266,39.801
